  366     556       3
  912     293     345
  366     502       6
  556       7       3
  661    1028       1
    1    1028     437
    3       7     434
  661     377       4
  368     823     312
    5     312     813
    5     813     333
  473     322     359
    6     322     412
    6     412     449
  863     444     695
  765     440     620
 1027     338     472
    4     377    1068
    4    1068     383
  638     347     482
  448      12     408
    2     408     724
  725     393     572
  615      14     346
   10     338     612
   10      18     601
   10     601     634
   11      19     591
   11     591     575
  448     881      12
  658     326     340
   15     340     456
  353     500      27
  991      27     455
   16     455     496
  608     664      24
   17      24    1086
  440     801       9
    9      30     756
   10     612      18
  507     678     372
  716     321     534
  393     329      22
  615    1070      14
    8      28     538
  664     538      24
   24     720      38
   24      38      25
   25      38      39
  801     404       9
    9     404      30
   30     442    1038
   26     442     759
   26     759     998
 1042      31     513
   18     467    1105
   19     467     477
   19     477     997
   20     304     799
   21     304     398
   21     398     582
  761      33      34
  899      34     507
  584    1002      46
  326     318      23
   27     344      37
   27      37     585
   27     585     913
  784      49     760
   28     760     552
  806      40     668
  859      40     669
   20      42     475
  321     391      35
   35     391     403
   35     403     367
 1002     364      46
   23     318      47
   23      47     697
  344      48      37
   50      51     746
 1048      51     583
  720     583      38
  914      52      53
   38     920      39
   39     920      54
  806    1128      40
  817    1085     470
  540    1069     533
   31     533     663
  719     887      73
   41      73     365
   41     365     525
  753      79     570
   42     570     544
   32      57     420
  696     908      58
   33    1043      34
   34     996      59
   34      59     417
   59     399     639
   43     399     309
   43     975    1075
  985     306      60
 1076      60     951
   45     474     734
   45     734    1040
  749      61     374
 1147     302     911
   46     911     388
   47     418      64
   47     857    1052
   48     857      65
   48     594      37
   37     594     921
   37     604      49
   49     604     369
   49     325      50
   50     325     778
   50     778      51
   51     843      68
   51      68     861
  865    1125      75
   52     943      53
   53     943      76
   53    1031      54
   54    1024     397
 1111     354      40
   40     354      69
   40     919    1009
   55     919      70
  817      70      71
   32      56     619
   32     619      57
   57     866      81
  908    1020      58
   58     900      82
  996     841      59
   59     841      83
  302     471      63
  745     776      96
   69     815      70
   70     476     937
   70     849      71
   71     849     536
   71     536     910
  721      78     457
  887     350      73
   73     350     355
