x,y,z,r,potential,ax,ay,az
-14.144380387604471,-14.144380387604471,0.0,20.003174575514258,7.582458748574263e-08,2.6678292818514486e-09,2.7046480076793053e-09,-3.46144987756323e-14
-14.002225810844628,-14.144380387604471,0.0,19.902909943200104,7.620473976273347e-08,2.6805678786899205e-09,2.7455170333583103e-09,-3.5368861917017634e-14
-13.860071234084783,-14.144380387604471,0.0,19.803158110845718,7.658668630332443e-08,2.6930707962567256e-09,2.7869872138269907e-09,-3.613460465638748e-14
-13.71791665732494,-14.144380387604471,0.0,19.703926866656886,7.697039260335824e-08,2.705323876561652e-09,2.829062349708937e-09,-3.6911505065039895e-14
-13.575762080565095,-14.144380387604471,0.0,19.60522411545859,7.735582211569868e-08,2.7173125337936595e-09,2.8717459347884816e-09,-3.769930737001177e-14
-13.433607503805252,-14.144380387604471,0.0,19.507057879535363,7.774293618911174e-08,2.7290217501620164e-09,2.915041134644731e-09,-3.849771996822013e-14
-13.291452927045407,-14.144380387604471,0.0,19.409436299416683,7.813169400659545e-08,2.7404360723014846e-09,2.9589507645131157e-09,-3.9306413383456874e-14
-13.149298350285564,-14.144380387604471,0.0,19.31236763460329,7.852205252324131e-08,2.7515396082932566e-09,3.003477266374116e-09,-4.0125018169250047e-14
-13.00714377352572,-14.144380387604471,0.0,19.21586026423014,7.891396640371985e-08,2.7623160253555694e-09,3.0486226852715006e-09,-4.09531227611734e-14
-12.864989196765876,-14.144380387604471,0.0,19.119922687661493,7.930738795948815e-08,2.7727485482601128e-09,3.0943886448652524e-09,-4.179027128304223e-14
-12.722834620006031,-14.144380387604471,0.0,19.024563525013498,7.97022670858277e-08,2.7828199585324843e-09,3.1407763222274974e-09,-4.263596131187137e-14
-12.580680043246188,-14.144380387604471,0.0,18.929791517599526,8.009855119882778e-08,2.792512594497039e-09,3.1877864218930893e-09,-4.348964160742596e-14
-12.438525466486343,-14.144380387604471,0.0,18.835615528293182,8.049618517243883e-08,2.801808352228453e-09,3.235419149180182e-09,-4.435070981317471e-14
-12.2963708897265,-14.144380387604471,0.0,18.742044541803953,8.08951112757294e-08,2.81068868747424e-09,3.283674182799969e-09,-4.5218510135754264e-14
-12.154216312966657,-14.144380387604471,0.0,18.649087664860037,8.129526911048934e-08,2.8191346186142163e-09,3.3325506467790115e-09,-4.609233101178833e-14
-12.012061736206812,-14.144380387604471,0.0,18.556754126293043,8.169659554933134e-08,2.82712673072454e-09,3.3820470817219577e-09,-4.6971402771236554e-14
-11.869907159446967,-14.144380387604471,0.0,18.465053277018736,8.209902467445269e-08,2.8346451808154094e-09,3.432161415447262e-09,-4.785489530775178e-14
