x,y,z,r,potential,ax,ay,az
-14.144380387604471,-14.144380387604471,0.0,20.003174575514258,7.582462792807066e-08,2.6678250221644227e-09,2.7046605132662935e-09,-3.4676008667811786e-14
-14.002225810844628,-14.144380387604471,0.0,19.902909943200104,7.620477957969429e-08,2.6805633385528224e-09,2.745529630101369e-09,-3.5430402356275526e-14
-13.860071234084783,-14.144380387604471,0.0,19.803158110845718,7.658672545443435e-08,2.693065966835879e-09,2.786999895940653e-09,-3.6196152149444497e-14
-13.71791665732494,-14.144380387604471,0.0,19.703926866656886,7.697043104685037e-08,2.7053187489219995e-09,2.8290751109782828e-09,-3.6973040174588816e-14
-13.575762080565095,-14.144380387604471,0.0,19.60522411545859,7.735585980855032e-08,2.717307098909192e-09,2.8717587685489963e-09,-3.7760808157235694e-14
-13.433607503805252,-14.144380387604471,0.0,19.507057879535363,7.774297308698505e-08,2.729015998927459e-09,2.9150540337697873e-09,-3.8559166205452355e-14
-13.291452927045407,-14.144380387604471,0.0,19.409436299416683,7.813173006388425e-08,2.7404299955374303e-09,2.958963721398452e-09,-3.9367783323948194e-14
-13.149298350285564,-14.144380387604471,0.0,19.31236763460329,7.852208769298994e-08,2.7515331967703483e-09,3.003490272919596e-09,-4.0186288887086245e-14
-13.00714377352572,-14.144380387604471,0.0,19.21586026423014,7.891400063772412e-08,2.7623092698025623e-09,3.0486357328583815e-09,-4.1014274170679095e-14
-12.864989196765876,-14.144380387604471,0.0,19.119922687661493,7.930742120815321e-08,2.772741439385268e-09,3.094401724352628e-09,-4.185128455604533e-14
-12.722834620006031,-14.144380387604471,0.0,19.024563525013498,7.970229929826855e-08,2.7828124870361614e-09,3.1407894239266567e-09,-4.2696817241413174e-14
-12.580680043246188,-14.144380387604471,0.0,18.929791517599526,8.009858232283123e-08,2.792504751096323e-09,3.1877995355537583e-09,-4.355032103117611e-14
-12.438525466486343,-14.144380387604471,0.0,18.835615528293182,8.049621515446932e-08,2.8018001276719237e-09,3.2354322639762977e-09,-4.4411193389470054e-14
-12.2963708897265,-14.144380387604471,0.0,18.742044541803953,8.08951400609729e-08,2.810680072566672e-09,3.2836872873092683e-09,-4.52787824858338e-14
-12.154216312966657,-14.144380387604471,0.0,18.649087664860037,8.129529664279855e-08,2.8191256042402753e-09,3.3325637289769267e-09,-4.6152373392849714e-14
-12.012061736206812,-14.144380387604471,0.0,18.556754126293043,8.169662177129069e-08,2.8271173078700784e-09,3.3820601289626706e-09,-4.703120148540938e-14
-11.869907159446967,-14.144380387604471,0.0,18.465053277018736,8.209904952732962e-08,2.834635340604025e-09,3.4321744144517224e-09,-4.7914436347358596e-14
-11.727752582687124,-14.144380387604471,0.0,18.373994589908165,8.250251114110671e-08,2.8416594380193382e-09,3.482903869873525e-09,-4.880118847073034e-14
-11.585598005927281,-14.144380387604471,0.0,18.283587659543084,8.290693493250122e-08,2.8481689219446063e-09,3.534245106415058e-09,-4.969050018373771e-14
-11.443443429167436,-14.144380387604471,0.0,18.19384220184965,8.33122462531189e-08,2.8541427096355857e-09,3.586194031004462e-09,-5.058134833846498e-14
-11.301288852407591,-14.144380387604471,0.0,18.104768053604058,8.371836742935977e-08,2.8595593244238995e-09,3.6387458148865358e-09,-5.14726408133902e-14
-11.159134275647748,-14.144380387604471,0.0,18.016375171803745,8.412521770733498e-08,2.86439690789356e-09,3.6918948617957006e-09,-5.2363216295842516e-14
-11.016979698887905,-14.144380387604471,0.0,17.928673632897617,8.453271319962125e-08,2.868633233667445e-09,3.745634775803742e-09,-5.325183369399512e-14
-10.87482512212806,-14.144380387604471,0.0,17.841673631868662,8.494076683389824e-08,2.8722457228732245e-09,3.7999583289545616e-09,-5.4137186044196745e-14
-10.732670545368217,-14.144380387604471,0.0,17.755385481162175,8.534928830410942e-08,2.875211461353193e-09,3.854857428709693e-09,-5.5017879317961954e-14
-10.590515968608372,-14.144380387604471,0.0,17.669819609452695,8.575818402416295e-08,2.8775072186943115e-09,3.9103230853240395e-09,-5.5892448556515175e-14
-10.448361391848529,-14.144380387604471,0.0,17.58498656024283,8.616735708439683e-08,2.879109469153236e-09,3.966345379245757e-09,-5.675934726398857e-14
-10.306206815088684,-14.144380387604471,0.0,17.500896990286826,8.657670721121937e-08,2.8799944145090377e-09,4.022913428641453e-09,-5.761694240294209e-14
-10.164052238328841,-14.144380387604471,0.0,17.41756166783191,8.698613073007503e-08,2.8801380089699314e-09,4.080015357140052e-09,-5.84635283442838e-14
-10.021897661568996,-14.144380387604471,0.0,17.334991470670303,8.739552053219029e-08,2.8795159861225137e-09,4.137638261926308e-09,-5.929730892420283e-14
-9.879743084809153,-14.144380387604471,0.0,17.253197383994777,8.780476604528336e-08,2.878103888009007e-09,4.195768182313209e-09,-6.011640824652006e-14
-9.73758850804931,-14.144380387604471,0.0,17.172190498050735,8.821375320839741e-08,2.875877096418512e-09,4.254390068915982e-09,-6.091886461868751e-14
-9.595433931289465,-14.144380387604471,0.0,17.09198200557768,8.862236445166164e-08,2.872810866352071e-09,4.313487753556566e-09,-6.17026360055499e-14
-9.45327935452962,-14.144380387604471,0.0,17.01258319903318,8.903047868061066e-08,2.868880361795505e-09,4.373043920079151e-09,-6.246559353225836e-14
-9.311124777769777,-14.144380387604471,0.0,16.93400546759237,8.943797126599612e-08,2.8640606937584338e-09,4.433040076194023e-09,-6.320553329195586e-14
-9.168970201009934,-14.144380387604471,0.0,16.856260293916268,8.984471403918782e-08,2.8583269606310918e-09,4.493456526524987e-09,-6.392016057603686e-14
-9.026815624250089,-14.144380387604471,0.0,16.779359250682237,9.025057529316219e-08,2.8516542909016985e-09,4.5542723470543335e-09,-6.460711173358138e-14
-8.884661047490244,-14.144380387604471,0.0,16.703313996870214,9.065541979020761e-08,2.844017888173918e-09,4.615465361075707e-09,-6.526394436614126e-14
-8.742506470730401,-14.144380387604471,0.0,16.628136273798482,9.105910877575594e-08,2.835393078557604e-09,4.677012116914771e-09,-6.588813874776572e-14
-8.600351893970558,-14.144380387604471,0.0,16.55383790090301,9.146149999937686e-08,2.825755360355971e-09,4.738887867537235e-09,-6.647710809809147e-14
-8.458197317210713,-14.144380387604471,0.0,16.480430771254753,9.186244774295938e-08,2.8150804560691374e-09,4.801066552257685e-09,-6.702820056581951e-14
-8.31604274045087,-14.144380387604471,0.0,16.407926846809612,9.226180285631837e-08,2.8033443666374357e-09,4.863520780774875e-09,-6.753870095895876e-14
-8.173888163691025,-14.144380387604471,0.0,16.336338153386098,9.265941280082768e-08,2.7905234279232987e-09,4.926221819658948e-09,-6.800583455891994e-14
-8.031733586931182,-14.144380387604471,0.0,16.26567677536623,9.305512170114785e-08,2.776594369293553e-09,4.989139581572092e-09,-6.842678495351169e-14
-7.889579010171338,-14.144380387604471,0.0,16.195954850115697,9.344877040553763e-08,2.761534374310575e-09,5.052242617346476e-09,-6.879868326518184e-14
-7.747424433411494,-14.144380387604471,0.0,16.12718456211968,9.384019655469527e-08,2.7453211433740903e-09,5.1154981111989756e-09,-6.911862827520912e-14
-7.60526985665165,-14.144380387604471,0.0,16.059378136831583,9.422923465989181e-08,2.7279329582333023e-09,5.178871879209084e-09,-6.93836881349518e-14
-7.463115279891806,-14.144380387604471,0.0,15.992547834232186,9.461571619029954e-08,2.7093487482369596e-09,5.242328371305541e-09,-6.959090937507118e-14
-7.320960703131962,-14.144380387604471,0.0,15.92670594209777,9.499946966985144e-08,2.6895481581774785e-09,5.305830676944069e-09,-6.973733003326887e-14
-7.178806126372118,-14.144380387604471,0.0,15.861864768976183,9.538032078381096e-08,2.668511617590476e-09,5.369340534664957e-09,-6.981998499467801e-14
-7.036651549612274,-14.144380387604471,0.0,15.798036636870762,9.575809249538475e-08,2.6462204113078023e-09,5.432818345709508e-09,-6.98359200083661e-14
-6.89449697285243,-14.144380387604471,0.0,15.735233873632808,9.613260517234235e-08,2.6226567510936456e-09,5.496223191890887e-09,-6.978220224425027e-14
-6.752342396092586,-14.144380387604471,0.0,15.67346880506416,9.650367672398421e-08,2.5978038481435704e-09,5.559512857855539e-09,-6.965593323698298e-14
-6.610187819332742,-14.144380387604471,0.0,15.612753746732347,9.687112274832902e-08,2.5716459862382064e-09,5.622643857929454e-09,-6.94542533761676e-14
-6.468033242572898,-14.144380387604471,0.0,15.553100995501769,9.723475668984726e-08,2.54416859528244e-09,5.685571467663628e-09,-6.917437374046125e-14
-6.325878665813054,-14.144380387604471,0.0,15.494522820785374,9.759439000771367e-08,2.5153583250080792e-09,5.748249760201313e-09,-6.881356961218552e-14
-6.183724089053211,-14.144380387604471,0.0,15.437031455522366,9.794983235426381e-08,2.4852031185313535e-09,5.810631647644978e-09,-6.836920588022569e-14
-6.041569512293366,-14.144380387604471,0.0,15.380639086888513,9.830089176421837e-08,2.453692285506176e-09,5.8726689274188116e-09,-6.783875293363844e-14
-5.899414935533523,-14.144380387604471,0.0,15.325357846746876,9.864737485402881e-08,2.4208165745609657e-09,5.93431233378617e-09,-6.721979910277005e-14
-5.757260358773678,-14.144380387604471,0.0,15.271199801847818,9.898908703151742e-08,2.386568244695771e-09,5.995511594551228e-09,-6.65100657845667e-14
-5.615105782013835,-14.144380387604471,0.0,15.218176943788476,9.932583271561154e-08,2.350941135330282e-09,6.056215492958158e-09,-6.570741889625329e-14
-5.47295120525399,-14.144380387604471,0.0,15.166301178742994,9.965741556589199e-08,2.3139307346479376e-09,6.116371934829284e-09,-6.480989898948989e-14
-5.330796628494147,-14.144380387604471,0.0,15.115584316976124,9.998363872167545e-08,2.2755342459143167e-09,6.175928020912408e-09,-6.381572625865072e-14
-5.188642051734302,-14.144380387604471,0.0,15.066038062154082,1.0030430505044776e-07,2.2357506513921736e-09,6.234830124384891e-09,-6.272331658149294e-14
-5.046487474974459,-14.144380387604471,0.0,15.017674000467718,1.0061921740502458e-07,2.194580773511747e-09,6.293023973483128e-09,-6.153129974764845e-14
-4.904332898214616,-14.144380387604471,0.0,14.970503589584427,1.0092817888947508e-07,2.1520273329263565e-09,6.3504547390845825e-09,-6.023854286874869e-14
-4.762178321454771,-14.144380387604471,0.0,14.924538147446432,1.0123099313276203e-07,2.108095003100686e-09,6.407067127203844e-09,-5.884415040021891e-14
-4.620023744694928,-14.144380387604471,0.0,14.879788840934369,1.0152746457003839e-07,2.062790461057472e-09,6.462805476178886e-09,-5.734749350293329e-14
-4.477869167935083,-14.144380387604471,0.0,14.836266674416231,1.0181739873077382e-07,2.0161224339385396e-09,6.517613858383851e-09,-5.5748214551025807e-14
-4.33571459117524,-14.144380387604471,0.0,14.793982478203084,1.0210060253337478e-07,1.9681017410158983e-09,6.5714361862228146e-09,-5.404624794889915e-14
-4.193560014415395,-14.144380387604471,0.0,14.75294689693397,1.0237688458507555e-07,1.9187413308098266e-09,6.624216322213082e-09,-5.2241826942328127e-14
-4.051405437655552,-14.144380387604471,0.0,14.713170377913626,1.0264605548715884e-07,1.8680563129961786e-09,6.675898192775048e-09,-5.0335498390663073e-14
-3.909250860895707,-14.144380387604471,0.0,14.674663159427675,1.0290792814395688e-07,1.8160639847592978e-09,6.726425905522255e-09,-4.8328129842163527e-14
-3.7670962841358637,-14.144380387604471,0.0,14.637435259060934,1.0316231807542072e-07,1.7627838513075378e-09,6.775743869617618e-09,-4.622092368791473e-14
-3.624941707376019,-14.144380387604471,0.0,14.601496462045395,1.0340904373209721e-07,1.7082376402565396e-09,6.823796918873347e-09,-4.401542124719999e-14
-3.4827871306161757,-14.144380387604471,0.0,14.566856309665296,1.0364792681172999e-07,1.6524493096128408e-09,6.870530437172419e-09,-4.1713508380570096e-14
-3.340632553856331,-14.144380387604471,0.0,14.533524087747427,1.0387879257637311e-07,1.5954450491377188e-09,6.915890485803708e-09,-3.931742283700527e-14
-3.1984779770964877,-14.144380387604471,0.0,14.501508815265439,1.0410147016946899e-07,1.5372532748512794e-09,6.959823932217486e-09,-3.6829752016955246e-14
-3.056323400336643,-14.144380387604471,0.0,14.470819233087509,1.0431579293144495e-07,1.477904616517253e-09,7.002278579762845e-09,-3.4253437107448496e-14
-2.9141688235767997,-14.144380387604471,0.0,14.44146379289707,1.0452159871311164e-07,1.4174318979350165e-09,7.043203297895111e-09,-3.159177654842793e-14
-2.772014246816955,-14.144380387604471,0.0,14.413450646316662,1.0471873018575442e-07,1.3558701099350873e-09,7.082548152329531e-09,-2.884840636823791e-14
-2.6298596700571117,-14.144380387604471,0.0,14.38678763426509,1.0490703514674845e-07,1.2932563759852338e-09,7.12026453463816e-09,-2.6027313427480867e-14
-2.4877050932972686,-14.144380387604471,0.0,14.36148227657811,1.0508636681991771e-07,1.2296299103559621e-09,7.156305290703467e-09,-2.3132816160597195e-14
-2.3455505165374237,-14.144380387604471,0.0,14.337541761922752,1.0525658414930684e-07,1.165031968845415e-09,7.190624847516706e-09,-2.0169560005170956e-14
-2.2033959397775806,-14.144380387604471,0.0,14.314972938035137,1.0541755208547563e-07,1.0995057920763428e-09,7.223179337737469e-09,-1.7142502040631825e-14
-2.0612413630177358,-14.144380387604471,0.0,14.293782302311211,1.0556914186309945e-07,1.0330965414547081e-09,7.2539267214758104e-09,-1.405689788251211e-14
-1.9190867862578926,-14.144380387604471,0.0,14.273975992779295,1.0571123126914503e-07,9.658512278928188e-10,7.282826904689446e-09,-1.0918288451186879e-14
-1.7769322094980478,-14.144380387604471,0.0,14.255559779482587,1.0584370490027022e-07,8.978186334272219e-10,7.309841853698374e-09,-7.732476060581226e-15
-1.6347776327382046,-14.144380387604471,0.0,14.238539056298968,1.0596645440852773e-07,8.290492259690889e-10,7.334935705241861e-09,-4.505510646253027e-15
-1.4926230559783598,-14.144380387604471,0.0,14.222918833224359,1.0607937873473873e-07,7.595950673768607e-10,7.358074871509582e-09,-1.2436581820239273e-15
-1.3504684792185166,-14.144380387604471,0.0,14.20870372914478,1.0618238432794638e-07,6.89509715158098e-10,7.379228139710484e-09,2.0466127937165744e-15
-1.2083139024586718,-14.144380387604471,0.0,14.195897965120942,1.0627538535088006e-07,6.188481180934423e-10,7.398366765568373e-09,5.35866125667703e-15
-1.0661593256988287,-14.144380387604471,0.0,14.184505358207758,1.0635830386987325e-07,5.476665061472043e-10,7.415464560369941e-09,8.685701570611496e-15
-0.9240047489389838,-14.144380387604471,0.0,14.174529315829567,1.0643107002886549e-07,4.760222750561419e-10,7.430497971050655e-09,1.2020829966384932e-14
-0.7818501721791407,-14.144380387604471,0.0,14.165972830730212,1.0649362220659513e-07,4.03973866003112e-10,7.443446152924927e-09,1.535705901048115e-14
-0.6396955954192958,-14.144380387604471,0.0,14.158838476515257,1.0654590715644646e-07,3.315806408557457e-10,7.454291034656304e-09,1.8687334136942045e-14
-0.49754101865945266,-14.144380387604471,0.0,14.153128403801707,1.065878801281863e-07,2.589027534369297e-10,7.46301737514091e-09,2.2004585713033808e-14
-0.35538644189960955,-14.144380387604471,0.0,14.14884433698866,1.0661950497123435e-07,1.8600101734750363e-10,7.469612811967016e-09,2.5301738574181803e-14
-0.21323186513976466,-14.144380387604471,0.0,14.145987571660063,1.066407542188374e-07,1.1293677088703767e-10,7.47406790121257e-09,2.857175863822475e-14
-0.07107728837992155,-14.144380387604471,0.0,14.144558972628785,1.0665160915290621e-07,3.9771739611165456e-11,7.476376148331016e-09,3.180767747393407e-14
0.07107728837992333,-14.144380387604471,0.0,14.144558972628785,1.0665205984922589e-07,-3.343210288222472e-11,7.476534029950835e-09,3.500262539943323e-14
0.21323186513976644,-14.144380387604471,0.0,14.145987571660063,1.0664210520274976e-07,-1.0661267535889714e-10,7.474541006472223e-09,3.814986424950447e-14
0.3553864418996113,-14.144380387604471,0.0,14.14884433698866,1.0662175293280491e-07,-1.797079299431588e-10,7.47039952537829e-09,4.124281172284148e-14
0.49754101865945444,-14.144380387604471,0.0,14.153128403801707,1.0659101956844107e-07,-2.526559931142433e-10,7.46411501519507e-09,4.4275078951089524e-14
0.6396955954192993,-14.144380387604471,0.0,14.158838476515257,1.0654993041357858e-07,-3.253953060656377e-10,7.45569587017892e-09,4.7240488636786064e-14
0.7818501721791424,-14.144380387604471,0.0,14.165972830730212,1.0649851949238869e-07,-3.978647638792613e-10,7.445153425747795e-09,5.01331086956616e-14
0.9240047489389873,-14.144380387604471,0.0,14.174529315829567,1.0643682947497841e-07,-4.700038528538606e-10,7.432501924800896e-09,5.294727475080623e-14
1.0661593256988304,-14.144380387604471,0.0,14.184505358207758,1.0636491158369831e-07,-5.417527854760235e-10,7.41775847509216e-09,5.567761487074428e-14
1.2083139024586753,-14.144380387604471,0.0,14.195897965120944,1.062828254805422e-07,-6.130526323958531e-10,7.400942997861475e-09,5.831907054332683e-14
