-1.320378366312620e-01	1.369365580215790e-01	1.288254184889720e-01
-1.264413461451440e-01	1.403127462573800e-01	1.319323701808770e-01
-1.183323834174060e-01	1.455950861594470e-01	1.376865050870370e-01
-1.125753978170480e-01	1.496365427103490e-01	1.417670663212540e-01
-1.029318365413200e-01	1.535211728457280e-01	1.458999292933440e-01
-9.488016392651570e-02	1.560224940227850e-01	1.468041619724530e-01
-8.537870453128300e-02	1.601209098711430e-01	1.499458639248590e-01
-7.849197565852440e-02	1.622218106447650e-01	1.539548614731070e-01
-6.959254490924300e-02	1.642386833897150e-01	1.585598294118800e-01
-6.132314456578360e-02	1.653950175305730e-01	1.602687441894950e-01
-5.155386677953870e-02	1.662122613501650e-01	1.632826504799380e-01
-4.285395708793750e-02	1.678654876277600e-01	1.626994702747820e-01
-3.350694921097440e-02	1.679099802035130e-01	1.614187072284260e-01
-2.372292737889180e-02	1.672566391593690e-01	1.607117684837730e-01
-1.422470575918850e-02	1.662665407395080e-01	1.596656294518500e-01
-4.568694288578000e-03	1.651419275693230e-01	1.581049683289400e-01
4.661458636713270e-03	1.649002735001390e-01	1.573464573059650e-01
1.484447836467380e-02	1.627967423256910e-01	1.558453161776470e-01
2.361178098122310e-02	1.615156437801390e-01	1.546163006324830e-01
3.425969775444550e-02	1.594059346845680e-01	1.530701897833690e-01
4.252902951947210e-02	1.580382822449760e-01	1.516763475776930e-01
5.284369639579720e-02	1.561302072828680e-01	1.500840526137210e-01
6.067494670835380e-02	1.543929968525830e-01	1.478407859588860e-01
7.131837752918410e-02	1.518221297527710e-01	1.457295796995330e-01
7.894585767364330e-02	1.497694460446750e-01	1.441801828093010e-01
8.940173237323900e-02	1.468626299472470e-01	1.414374292918620e-01
9.650749311321890e-02	1.442315257600750e-01	1.389082517640180e-01
1.069037525197070e-01	1.406869462688720e-01	1.354116041293940e-01
1.146227551755230e-01	1.388245824222610e-01	1.338317643936460e-01
1.258206814960510e-01	1.365893273452870e-01	1.317552407087360e-01
1.331327496455320e-01	1.352505435660570e-01	1.306444965852600e-01
1.447101586017590e-01	1.329348136120100e-01	1.293860862995680e-01
1.516925482148260e-01	1.309728881530610e-01	1.277346869532680e-01
-1.349774896510170e-01	1.309371330311630e-01	1.314464846321470e-01
-1.278969845563360e-01	1.327678459320050e-01	1.367770400840060e-01
-1.209832301708570e-01	1.374256654888510e-01	1.422010698699830e-01
-1.133518357576890e-01	1.414592859357120e-01	1.469619687366440e-01
-1.043389910174170e-01	1.442011172544660e-01	1.500236458243770e-01
-9.556510413654510e-02	1.473236624768160e-01	1.528991899798100e-01
-8.734339933468270e-02	1.508147942348370e-01	1.564447494583120e-01
-7.995361593582180e-02	1.543012341535940e-01	1.612063183797950e-01
-7.203497127176820e-02	1.569720076199520e-01	1.657068393247950e-01
-6.273935428392980e-02	1.584008720349120e-01	1.685284852929760e-01
-5.326715674552430e-02	1.597279343818750e-01	1.708947441281650e-01
-4.361395837961030e-02	1.600543713855450e-01	1.712978980926820e-01
-3.395201948521040e-02	1.597318446645040e-01	1.706742057498000e-01
-2.422925979025900e-02	1.583605473663840e-01	1.692833223573370e-01
-1.453224566198230e-02	1.569168409540350e-01	1.677810188818510e-01
-4.975116719026740e-03	1.553008101773020e-01	1.658681285732500e-01
4.870090073426800e-03	1.541334194292140e-01	1.645257820461180e-01
1.451417246594410e-02	1.523634773649090e-01	1.627617329148230e-01
2.423768455721650e-02	1.507603540471930e-01	1.613688448687400e-01
3.386201526556220e-02	1.490082142289200e-01	1.596954675395630e-01
4.371125088590230e-02	1.480594975766010e-01	1.588157928234140e-01
5.297623697883200e-02	1.456751029134370e-01	1.559094106073630e-01
6.202960798025930e-02	1.431955015827240e-01	1.521830762461030e-01
7.140686392388900e-02	1.412109118647110e-01	1.500198795967090e-01
8.084083094194490e-02	1.393012308067290e-01	1.480470348098600e-01
9.012469987078660e-02	1.374059966615280e-01	1.463672482545320e-01
9.927050454650750e-02	1.353281445009850e-01	1.443470800729200e-01
1.087540896692310e-01	1.334242797059700e-01	1.423535643176400e-01
1.184511484664910e-01	1.317107534832230e-01	1.404083972558350e-01
1.278709532898570e-01	1.295796583440860e-01	1.381145429073710e-01
1.371249740006620e-01	1.273831685063070e-01	1.356909654052280e-01
1.459876877944210e-01	1.246876266710210e-01	1.329388468598170e-01
1.539382194763060e-01	1.236984787268170e-01	1.289003400678750e-01
-1.392472511914330e-01	1.205496943214380e-01	1.355611442307360e-01
-1.313622699473540e-01	1.247256367735280e-01	1.408113958626330e-01
-1.232657882956210e-01	1.290504197604950e-01	1.462895386183870e-01
-1.155783490845570e-01	1.327057106838880e-01	1.511384709563390e-01
-1.071249229089730e-01	1.360694666081600e-01	1.561763866999540e-01
-9.856669758541520e-02	1.393631847088120e-01	1.592360488351060e-01
-8.887887557197900e-02	1.419063968597420e-01	1.623587394173540e-01
-8.183796025874210e-02	1.454319141685630e-01	1.668437340863340e-01
-7.358795759083700e-02	1.480976597242970e-01	1.704356055032510e-01
-6.461569737713720e-02	1.500520490941630e-01	1.748195482118960e-01
-5.476026755307730e-02	1.520642007090420e-01	1.783896276295140e-01
-4.495328500844430e-02	1.520282506898450e-01	1.795020739323470e-01
-3.473353758714020e-02	1.509314866029540e-01	1.789183154897140e-01
-2.478518022047910e-02	1.499508618520560e-01	1.783986678386940e-01
-1.457282662708220e-02	1.479417839149230e-01	1.767269048264900e-01
-4.979350779309020e-03	1.462587253415260e-01	1.747931973664470e-01
5.294139663554810e-03	1.440382715077670e-01	1.722664669761430e-01
1.463597875405940e-02	1.421300589150000e-01	1.702746985409880e-01
2.490380842889470e-02	1.400087633376800e-01	1.681409815433400e-01
3.436693110502710e-02	1.388342678121650e-01	1.668334812698510e-01
4.453708932701270e-02	1.370823046923440e-01	1.653540815293690e-01
5.420166562171800e-02	1.357227054179370e-01	1.626579193673830e-01
6.418388661373160e-02	1.333012866221970e-01	1.586482092836070e-01
7.265744167303540e-02	1.305353220772650e-01	1.548465591421780e-01
8.293622667997540e-02	1.285582258170600e-01	1.521611858847000e-01
9.241509411063410e-02	1.276661137101670e-01	1.511157070101570e-01
1.020511717597460e-01	1.270598622763770e-01	1.503003854725730e-01
1.121051601543900e-01	1.259504141155380e-01	1.491665014105330e-01
1.220812656173110e-01	1.239648273958600e-01	1.464838588131630e-01
1.311850208426410e-01	1.214269870163820e-01	1.432174306505540e-01
1.405886545605920e-01	1.185461022774810e-01	1.394639349778470e-01
1.486591269089310e-01	1.155113525260660e-01	1.352455295078360e-01
1.573060199712200e-01	1.126200186178780e-01	1.313709118396980e-01
-1.423070493411300e-01	1.145196580483060e-01	1.380129159116720e-01
-1.345996574288440e-01	1.162136205011620e-01	1.441672968516250e-01
-1.265051687164170e-01	1.201551429204840e-01	1.498154896780910e-01
-1.190044974197940e-01	1.246245217245280e-01	1.556038427719150e-01
-1.109483221273260e-01	1.285757354461200e-01	1.606592586486670e-01
-1.022139760195000e-01	1.316464838105620e-01	1.649505509802290e-01
-9.272071160895710e-02	1.331917148613920e-01	1.683524852133340e-01
-8.399318895832170e-02	1.360834227844810e-01	1.722606169153180e-01
-7.541942189925990e-02	1.389767882179450e-01	1.768944719140590e-01
-6.655495305412800e-02	1.411322697509960e-01	1.813609282323160e-01
-5.682420470905240e-02	1.417958290207650e-01	1.841538027277970e-01
-4.680288586456510e-02	1.426403400223140e-01	1.865412733975180e-01
-3.640046128919640e-02	1.423598252929570e-01	1.873641680141170e-01
-2.599971954398690e-02	1.412076493626410e-01	1.871393161377570e-01
-1.584216328733220e-02	1.391524492148340e-01	1.855784658592700e-01
