x,y,z,r,potential,ax,ay,az
-1.2996746876816907,-1.2996746876816907,0.0,1.8380175699924635,1.928869850050655e-09,7.411529063112005e-10,7.440124785855953e-10,-1.4529990155408447e-13
-1.2866126305190606,-1.2996746876816907,0.0,1.8288046245599001,1.9385747520150903e-09,7.44805558001146e-10,7.55296498375702e-10,-1.4727800963191485e-13
-1.2735505733564305,-1.2996746876816907,0.0,1.8196387984149474,1.9483269683064105e-09,7.483968160259537e-10,7.667494820309986e-10,-1.4923689261115345e-13
-1.2604885161938004,-1.2996746876816907,0.0,1.8105208071869676,1.9581256718603264e-09,7.519228113395914e-10,7.783726644406594e-10,-1.5117304179959217e-13
-1.2474264590311706,-1.2996746876816907,0.0,1.8014513772210297,1.9679699842772787e-09,7.553795524411275e-10,7.90167202817122e-10,-1.5308275327217569e-13
-1.2343644018685405,-1.2996746876816907,0.0,1.7924312456551241,1.9778589742121735e-09,7.587629237931518e-10,8.021341708582549e-10,-1.549621229469688e-13
-1.2213023447059104,-1.2996746876816907,0.0,1.7834611604923316,1.987791655743892e-09,7.620686843741502e-10,8.142745526783936e-10,-1.5680703999749205e-13
-1.2082402875432803,-1.2996746876816907,0.0,1.7745418806675624,1.9977669867289087e-09,7.652924663760723e-10,8.265892365044922e-10,-1.586131823294516e-13
-1.1951782303806502,-1.2996746876816907,0.0,1.7656741761084696,2.0077838671359855e-09,7.684297740693736e-10,8.390790081365343e-10,-1.6037601076319608e-13
-1.18211617321802,-1.2996746876816907,0.0,1.756858827790132,2.0178411373700287e-09,7.714759828407489e-10,8.517445441732623e-10,-1.6209076509943394e-13
-1.1690541160553902,-1.2996746876816907,0.0,1.7480966277830725,2.027937576583071e-09,7.744263384293745e-10,8.64586404999194e-10,-1.6375245875776528e-13
-1.1559920588927601,-1.2996746876816907,0.0,1.7393883792941767,2.0380719009768953e-09,7.772759563726213e-10,8.77605027538205e-10,-1.6535587521540465e-13
-1.14293000173013,-1.2996746876816907,0.0,1.7307348967000509,2.0482427620996353e-09,7.800198216817464e-10,8.90800717772424e-10,-1.6689556449473253e-13
-1.1298679445675,-1.2996746876816907,0.0,1.7221370055723462,2.0584487451404513e-09,7.826527887647806e-10,9.041736430292511e-10,-1.6836583965489916e-13
-1.1168058874048699,-1.2996746876816907,0.0,1.7135955426945644,2.068688367224472e-09,7.851695816154092e-10,9.177238240422846e-10,-1.6976077488121148e-13
-1.1037438302422398,-1.2996746876816907,0.0,1.7051113560698345,2.0789600757115925e-09,7.875647942896853e-10,9.314511267883075e-10,-1.7107420335549847e-13
-1.0906817730796097,-1.2996746876816907,0.0,1.6966853049191477,2.0892622465052845e-09,7.898328916871536e-10,9.453552541079504e-10,-1.7229971664828103e-13
-1.0776197159169798,-1.2996746876816907,0.0,1.6883182596695128,2.0995931823704712e-09,7.919682106614342e-10,9.594357371196256e-10,-1.7343066394196478e-13
-1.0645576587543497,-1.2996746876816907,0.0,1.6800111019314852,2.109951111272151e-09,7.939649614788429e-10,9.736919264290622e-10,-1.744601529468404e-13
-1.0514956015917196,-1.2996746876816907,0.0,1.6717647244655072,2.1203341847319684e-09,7.958172296479759e-10,9.881229831535855e-10,-1.7538105274998384e-13
-1.0384335444290895,-1.2996746876816907,0.0,1.663580031136483,2.130740476213224e-09,7.975189781433074e-10,1.0027278697658497e-09,-1.7618599453310398e-13
