x,y,z,r,potential,ax,ay,az
-1.2996746876816907,-1.2996746876816907,0.0,1.8380175699924635,1.928868493451234e-09,7.411539899765209e-10,7.44008504044859e-10,-1.4472580671891178e-13
-1.2866126305190606,-1.2996746876816907,0.0,1.8288046245599001,1.938573410099414e-09,7.448067230522071e-10,7.552924967427254e-10,-1.4669589513683537e-13
-1.2735505733564305,-1.2996746876816907,0.0,1.8196387984149474,1.948325642153572e-09,7.483980649339193e-10,7.667454552348805e-10,-1.486468149664098e-13
-1.2604885161938004,-1.2996746876816907,0.0,1.8105208071869676,1.9581243625820607e-09,7.519241465901734e-10,7.783686145467865e-10,-1.505750701662218e-13
-1.2474264590311706,-1.2996746876816907,0.0,1.8014513772210297,1.9679686930177327e-09,7.553809765307962e-10,7.901631320320376e-10,-1.5247697056423633e-13
-1.2343644018685405,-1.2996746876816907,0.0,1.7924312456551241,1.977857702147902e-09,7.587644392245099e-10,8.021300815346512e-10,-1.543486261207886e-13
-1.2213023447059104,-1.2996746876816907,0.0,1.7834611604923316,1.987790404084502e-09,7.62070293650236e-10,8.142704473194466e-10,-1.5618594136129328e-13
-1.2082402875432803,-1.2996746876816907,0.0,1.7745418806675624,1.9977657567162625e-09,7.652941719962203e-10,8.265851177684052e-10,-1.5798461001994444e-13
-1.1951782303806502,-1.2996746876816907,0.0,1.7656741761084696,2.0077826600449425e-09,7.68431578521796e-10,8.390748788415163e-10,-1.5974010993915742e-13
-1.18211617321802,-1.2996746876816907,0.0,1.756858827790132,2.0178399545078474e-09,7.714778885973337e-10,8.517404073013028e-10,-1.6144769827288946e-13
-1.1690541160553902,-1.2996746876816907,0.0,1.7480966277830725,2.027936419289048e-09,7.744283479386302e-10,8.645822637009747e-10,-1.6310240704584828e-13
-1.1559920588927601,-1.2996746876816907,0.0,1.7393883792941767,2.0380707706219688e-09,7.772780720527164e-10,8.776008851369816e-10,-1.6469903912393825e-13
-1.14293000173013,-1.2996746876816907,0.0,1.7307348967000509,2.0482416600862107e-09,7.800220459127713e-10,8.907965777676488e-10,-1.6623216465552385e-13
-1.1298679445675,-1.2996746876816907,0.0,1.7221370055723462,2.0584476729017233e-09,7.82655123880521e-10,9.041695091005592e-10,-1.6769611804644913e-13
-1.1168058874048699,-1.2996746876816907,0.0,1.7135955426945644,2.068687326223684e-09,7.851720298951814e-10,9.177197000524192e-10,-1.6908499553610325e-13
-1.1037438302422398,-1.2996746876816907,0.0,1.7051113560698345,2.078959067441694e-09,7.875673579486644e-10,9.314470167862932e-10,-1.703926534449261e-13
-1.0906817730796097,-1.2996746876816907,0.0,1.6966853049191477,2.0892612724871583e-09,7.898355728673765e-10,9.453511623323425e-10,-1.7161270716846013e-13
-1.0776197159169798,-1.2996746876816907,0.0,1.6883182596695128,2.0995922441529974e-09,7.919710114215378e-10,9.594316679995289e-10,-1.7273853099574303e-13
-1.0645576587543497,-1.2996746876816907,0.0,1.6800111019314852,2.109950210430101e-09,7.939678837834905e-10,9.73687884587183e-10,-1.7376325883424746e-13
