974 819 2
843 315 1
2 471 3
898 3 995
648 4 1022
648 5 378
878 591 6
872 418 7
872 7 336
1057 315 296
488 687 10
471 971 3
3 971 702
3 11 434
3 434 995
4 12 951
4 681 1022
5 681 14
5 14 448
418 15 7
452 395 16
452 16 635
490 453 18
416 18 19
774 585 33
774 33 942
9 335 20
687 20 10
863 373 21
863 21 702
550 365 22
550 22 1097
1097 22 695
12 469 951
13 469 899
13 899 629
769 973 14
14 973 360
1035 26 448
410 325 27
992 589 15
926 351 28
395 28 978
635 16 453
17 693 501
17 501 18
850 751 31
850 938 19
19 938 32
585 915 33
335 34 20
20 295 318
373 318 799
21 1112 636
365 35 690
690 35 333
24 877 306
306 1118 605
25 986 409
25 539 360
480 38 323
325 39 515
351 884 28
28 884 41
517 1064 42
1110 455 978
354 42 1021
354 500 17
17 500 693
384 956 45
384 594 30
30 594 590
1023 590 31
31 782 1003
1078 1003 32
32 47 920
915 848 33
1058 848 49
1058 49 642
34 552 50
295 50 338
35 386 52
35 52 596
35 596 333
189 483 605
37 925 55
37 55 409
38 555 323
39 57 515
415 909 77
415 742 40
40 742 58
40 58 1137
41 58 929
1064 1028 42
42 784 907
42 907 647
1052 60 802
43 383 996
29 383 451
1060 62 63
956 1072 45
45 1072 413
621 583 46
540 64 601
540 65 47
47 65 734
47 734 920
48 66 969
1139 969 49
49 67 68
552 68 50
50 68 570
50 69 338
499 69 417
414 90 70
414 70 52
52 70 882
917 882 53
925 961 55
55 961 943
55 73 671
671 982 74
38 1125 555
1039 56 892
39 901 57
1009 75 76
1009 76 770
58 749 78
58 78 652
652 713 79
784 684 60
60 628 80
60 708 802
61 708 470
61 1010 957
1135 81 62
62 82 63
63 82 83
63 83 413
1094 481 84
1094 84 542
542 84 664
65 85 665
665 849 86
66 86 724
724 86 1071
67 719 68
68 719 503
1073 88 570
69 949 432
69 821 417
70 571 106
70 106 662
662 851 91
72 92 980
72 1146 943
73 93 999
982 94 74
74 94 341
1074 380 56
56 535 892
75 408 76
76 96 770
374 96 932
374 97 935
935 97 612
676 98 79
680 650 99
628 99 80
80 99 656
844 100 470
81 835 62
62 835 82
82 567 512
512 101 102
958 102 658
658 102 874
84 865 664
85 717 952
85 952 825
825 104 437
86 1036 1071
449 118 513
87 627 503
88 298 432
571 304 1107
574 331 245
92 548 108
92 108 980
93 108 476
93 655 999
94 109 341
678 408 308
400 595 96
96 595 1034
96 1034 932
696 1077 112
696 112 612
729 883 113
650 663 99
718 1090 114
718 114 524
524 114 317
317 1132 101
602 115 510
510 115 116
102 756 874
103 805 887
812 879 104
737 369 118
513 118 319
298 1044 334
334 881 297
304 464 1107
611 382 121
331 625 245
303 123 597
1096 124 827
827 124 476
970 124 342
349 532 95
95 532 1140
111 968 329
1077 604 112
883 487 113
698 487 897
698 127 643
643 127 343
343 127 115
565 128 356
356 393 606
445 1069 117
369 321 118
118 321 398
118 398 319
905 130 411
614 131 297
120 533 132
382 553 121
1088 553 133
924 739 122
388 133 864
388 804 123
123 804 597
124 619 768
124 768 342
866 135 653
125 136 1068
352 136 375
441 137 329
867 831 385
399 128 847
847 128 565
393 364 129
129 364 1082
353 683 130
775 666 139
775 139 411
131 139 700
533 140 132
132 140 461
461 140 143
484 143 600
600 143 141
619 141 135
135 141 578
578 641 144
136 990 375
616 489 912
616 142 385
138 763 496
666 496 139
139 661 700
140 661 143
641 392 144
392 834 144
1147 834 459
146 780 954
146 781 875
148 465 149
148 149 886
573 936 151
573 151 371
760 547 152
740 402 153
740 153 326
147 1144 937
903 155 421
465 421 896
149 630 157
149 157 443
149 443 886
1029 752 159
936 697 151
151 697 160
547 447 152
402 161 153
433 391 162
433 646 154
508 462 164
430 164 165
748 498 177
748 842 407
1061 320 166
1061 166 640
753 363 167
630 1091 157
157 1091 346
531 168 910
158 559 732
158 732 438
438 169 170
868 170 584
159 893 730
953 171 359
447 172 557
557 172 327
390 173 514
859 322 174
391 1054 162
154 646 462
163 357 164
164 507 807
164 807 165
983 175 1055
498 176 841
320 1001 166
166 347 427
363 523 167
167 786 387
167 387 346
358 194 366
686 180 345
559 345 1136
610 181 1130
169 562 485
170 1020 764
1007 764 509
171 299 494
171 494 359
712 332 185
712 185 327
322 186 796
796 186 1025
174 187 543
1054 474 162
313 188 993
1014 361 163
837 190 176
176 190 927
176 659 841
177 659 813
177 813 638
902 192 561
347 193 526
310 537 194
738 195 366
709 793 196
965 446 181
396 908 741
396 197 311
181 311 962
466 198 1105
182 525 735
328 706 200
183 806 429
299 201 947
332 1067 185
704 203 439
439 203 204
173 677 900
186 966 205
186 205 1025
187 815 206
1086 977 188
755 836 208
755 208 191
1027 1126 209
1027 209 192
192 209 210
192 210 561
193 588 211
193 211 526
1056 405 212
537 213 840
840 213 556
738 556 195
195 214 675
793 215 196
196 215 479
196 479 741
197 216 217
197 217 198
198 217 218
198 839 1105
199 839 703
706 219 745
200 649 220
688 220 707
707 220 626
950 607 184
858 607 222
623 222 202
185 955 1005
704 223 203
204 203 726
762 242 436
436 620 224
205 224 766
766 224 759
207 226 765
765 1004 227
208 227 1109
1109 227 228
209 228 210
210 228 568
588 229 211
211 229 324
405 1102 809
809 230 477
213 450 231
790 231 911
911 231 822
214 232 675
215 743 233
215 233 520
603 828 234
216 234 217
217 234 235
217 235 218
491 727 236
491 236 219
219 236 721
649 237 220
785 758 238
785 238 626
221 994 1013
221 1013 1047
222 239 444
222 444 202
529 240 715
715 240 458
223 928 203
203 928 726
620 243 224
224 243 710
224 710 759
226 895 247
1004 247 227
227 247 645
227 645 228
801 262 598
228 1006 568
229 292 324
372 249 231
231 249 454
454 249 401
743 545 233
233 545 502
828 397 234
234 397 340
340 1050 252
727 424 963
497 252 618
236 377 798
758 419 238
238 419 1049
994 576 239
239 254 406
241 300 975
241 412 930
608 412 256
608 256 243
243 256 257
243 257 714
944 257 1063
440 362 260
440 260 771
771 260 261
246 997 1101
247 261 493
972 330 263
292 316 823
637 800 264
372 575 249
249 575 1037
249 538 401
931 337 251
586 1133 266
586 266 592
442 266 267
442 871 381
518 857 519
518 268 301
673 268 350
254 613 406
300 307 1017
981 370 270
981 270 257
257 544 1063
797 1062 271
797 271 486
259 722 428
428 672 344
260 344 261
811 522 394
394 273 639
330 302 761
692 1092 275
263 1012 368
264 776 654
