365 555 2
911 292 344
365 501 5
555 6 2
660 1027 0
0 1027 436
2 6 433
660 376 3
367 822 311
4 311 812
4 812 332
472 321 358
5 321 411
5 411 448
862 443 694
764 439 619
1026 337 471
3 376 1067
3 1067 382
637 346 481
447 11 407
1 407 723
724 392 571
614 13 345
9 337 611
9 17 600
9 600 633
10 18 590
10 590 574
447 880 11
657 325 339
14 339 455
352 499 26
990 26 454
15 454 495
607 663 23
16 23 1085
439 800 8
8 29 755
9 611 17
506 677 371
715 320 533
392 328 21
614 1069 13
7 27 537
663 537 23
23 719 37
23 37 24
24 37 38
800 403 8
8 403 29
29 441 1037
25 441 758
25 758 997
1041 30 512
17 466 1104
18 466 476
18 476 996
19 303 798
20 303 397
20 397 581
760 32 33
898 33 506
583 1001 45
325 317 22
26 343 36
26 36 584
26 584 912
783 48 759
27 759 551
805 39 667
858 39 668
19 41 474
320 390 34
34 390 402
34 402 366
1001 363 45
22 317 46
22 46 696
343 47 36
49 50 745
1047 50 582
719 582 37
913 51 52
37 919 38
38 919 53
805 1127 39
816 1084 469
539 1068 532
30 532 662
718 886 72
40 72 364
40 364 524
752 78 569
41 569 543
31 56 419
695 907 57
32 1042 33
33 995 58
33 58 416
58 398 638
42 398 308
42 974 1074
984 305 59
1075 59 950
44 473 733
44 733 1039
748 60 373
1146 301 910
45 910 387
46 417 63
46 856 1051
47 856 64
47 593 36
36 593 920
36 603 48
48 603 368
48 324 49
49 324 777
49 777 50
50 842 67
50 67 860
864 1124 74
51 942 52
52 942 75
52 1030 53
53 1023 396
1110 353 39
39 353 68
39 918 1008
54 918 69
816 69 70
31 55 618
31 618 56
56 865 80
907 1019 57
57 899 81
995 840 58
58 840 82
301 470 62
744 775 95
68 814 69
69 475 936
69 848 70
70 848 535
70 535 909
720 77 456
886 349 72
72 349 354
72 354 1071
830 932 432
305 306 59
59 306 434
473 428 60
60 428 542
1007 389 588
61 389 683
61 683 624
470 737 62
62 737 460
417 1014 63
63 769 1038
63 827 954
64 756 87
64 904 968
65 893 88
65 88 655
73 89 634
66 89 785
842 785 67
67 808 903
1124 903 74
74 91 1135
74 1100 1119
75 1100 562
75 562 412
440 1080 335
953 316 55
55 316 357
55 357 705
504 828 113
865 468 80
80 468 817
899 426 81
81 426 847
81 393 891
830 393 116
83 691 949
83 486 717
616 102 85
85 102 560
769 560 86
86 103 591
756 591 87
87 104 670
893 670 88
88 105 1091
88 650 73
73 650 563
73 563 89
89 107 765
89 765 819
90 108 1048
808 1052 91
91 1052 124
91 124 92
92 503 93
630 289 302
775 302 95
425 855 125
475 527 76
76 527 640
76 513 77
77 312 109
653 110 385
116 318 435
97 318 510
97 510 386
961 120 421
98 797 871
98 871 788
99 779 905
99 905 782
691 399 101
699 378 452
