3	556	1	4
3	366	1	727
366	556	1	1107
293	912	2	581
293	345	2	1645
345	912	2	1819
6	502	3	714
366	502	3	999
6	366	3	1107
3	7	4	7
7	556	4	1386
1	1028	5	6
1	661	5	1317
661	1028	5	2051
1	437	6	1820
437	1028	6	2230
3	434	7	749
7	434	7	863
4	377	8	18
377	661	8	1802
4	661	8	2051
312	823	9	619
312	368	9	731
368	823	9	1641
5	813	10	11
5	312	10	731
312	813	10	1621
5	333	11	942
333	813	11	2284
322	473	12	639
322	359	12	713
359	473	12	941
6	412	13	14
6	322	13	713
322	412	13	1519
412	449	14	1565
6	449	14	1722
444	863	15	883
444	695	15	1385
695	863	15	1721
440	765	16	875
440	620	16	1235
620	765	16	1525
338	1027	17	671
338	472	17	939
472	1027	17	2049
4	1068	18	19
377	1068	18	2131
4	383	19	1272
383	1068	19	2132
347	638	20	689
347	482	20	959
482	638	20	1271
12	448	21	30
12	408	21	811
408	448	21	891
2	724	22	574
2	408	22	891
408	724	22	1443
393	725	23	781
393	572	23	1139
572	725	23	1445
14	615	24	44
14	346	24	687
346	615	24	1225
10	612	25	40
10	338	25	939
338	612	25	1219
10	601	26	27
10	18	26	40
18	601	26	1197
10	634	27	750
601	634	27	1263
11	591	28	29
19	591	28	1177
11	19	28	1198
11	575	29	761
575	591	29	2126
12	881	30	1160
448	881	30	1757
326	340	31	675
326	658	31	1181
340	658	31	1311
15	456	32	661
340	456	32	907
15	340	32	1311
27	500	33	683
27	353	33	701
353	500	33	995
27	991	34	701
27	455	34	905
455	991	34	1977
16	496	35	640
455	496	35	987
16	455	35	1977
24	664	36	46
24	608	36	1211
608	664	36	1323
17	1086	37	876
17	24	37	1211
24	1086	37	2167
9	801	38	50
9	440	38	1235
440	801	38	1597
9	30	39	51
9	756	39	672
30	756	39	1507
18	612	40	1992
372	678	41	739
372	507	41	1009
507	678	41	1351
321	716	42	637
321	534	42	1063
534	716	42	1427
22	329	43	595
329	393	43	1110
22	393	43	1139
14	1070	44	1164
615	1070	44	2135
8	28	45	906
28	538	45	1071
8	538	45	1324
24	538	46	1072
538	664	46	1324
24	38	47	48
38	720	47	83
24	720	47	1435
25	38	48	49
24	25	48	2167
38	39	49	85
25	39	49	803
9	404	50	51
404	801	50	1598
30	404	51	1332
30	442	52	879
30	1038	52	1507
442	1038	52	2071
26	759	53	54
442	759	53	1513
26	442	53	2071
26	998	54	1220
759	998	54	1991
31	513	55	1021
31	1042	55	1514
